index,board,nPages,date,nTopics_est
1,"('General Category', 'Access vendor-only forum')",1,2014-08-25,25
2,"('General Category', 'Security Discussion')",11,2014-08-25,525
3,"('General Category', 'Product Offers')",41,2014-08-25,2025
4,"('Local forums', 'German')",8,2014-08-25,375
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-08-25,25
6,"('General Category', 'Newbie Section ')",51,2014-08-25,2525
7,"('General Category', 'Referral Links')",44,2014-08-25,2175
8,"('Community', 'Drug Safety')",1,2014-08-25,25
9,"('General Category', 'New Features')",5,2014-08-25,225
10,"('General Category', 'Bugs')",5,2014-08-25,225
11,"('General Category', 'Product Categories')",6,2014-08-25,275
12,"('Offtopic', 'Generic randomness')",6,2014-08-25,275
13,"('Official section', 'News')",1,2014-08-25,25
14,"('Official section', 'Info')",1,2014-08-25,25
15,"('General Category', 'Vendor Discussion')",55,2014-08-25,2725
0,"('General Category', 'General Discussion')",174,2014-08-28,8675
1,"('General Category', 'Access vendor-only forum')",1,2014-08-28,25
2,"('General Category', 'Security Discussion')",11,2014-08-28,525
3,"('General Category', 'Product Offers')",42,2014-08-28,2075
4,"('Local forums', 'German')",8,2014-08-28,375
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-08-28,25
6,"('General Category', 'Newbie Section ')",53,2014-08-28,2625
7,"('General Category', 'Referral Links')",44,2014-08-28,2175
8,"('Community', 'Drug Safety')",1,2014-08-28,25
9,"('General Category', 'New Features')",5,2014-08-28,225
10,"('General Category', 'Bugs')",5,2014-08-28,225
11,"('General Category', 'Product Categories')",6,2014-08-28,275
12,"('Offtopic', 'Generic randomness')",6,2014-08-28,275
13,"('Official section', 'News')",1,2014-08-28,25
14,"('Official section', 'Info')",1,2014-08-28,25
15,"('General Category', 'Vendor Discussion')",56,2014-08-28,2775
0,"('General Category', 'General Discussion')",176,2014-09-02,8775
1,"('General Category', 'Access vendor-only forum')",1,2014-09-02,25
2,"('General Category', 'Security Discussion')",11,2014-09-02,525
3,"('General Category', 'Product Offers')",42,2014-09-02,2075
4,"('Local forums', 'German')",8,2014-09-02,375
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-09-02,25
6,"('General Category', 'Newbie Section ')",54,2014-09-02,2675
7,"('General Category', 'Referral Links')",44,2014-09-02,2175
8,"('Community', 'Drug Safety')",1,2014-09-02,25
9,"('General Category', 'New Features')",5,2014-09-02,225
10,"('General Category', 'Bugs')",5,2014-09-02,225
11,"('General Category', 'Product Categories')",6,2014-09-02,275
12,"('Offtopic', 'Generic randomness')",6,2014-09-02,275
13,"('Official section', 'News')",1,2014-09-02,25
14,"('Official section', 'Info')",1,2014-09-02,25
15,"('General Category', 'Vendor Discussion')",56,2014-09-02,2775
0,"('General Category', 'General Discussion')",178,2014-09-08,8875
1,"('General Category', 'Access vendor-only forum')",1,2014-09-08,25
2,"('General Category', 'Security Discussion')",11,2014-09-08,525
3,"('General Category', 'Product Offers')",43,2014-09-08,2125
4,"('Local forums', 'German')",8,2014-09-08,375
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-09-08,25
6,"('General Category', 'Newbie Section ')",57,2014-09-08,2825
7,"('General Category', 'Referral Links')",46,2014-09-08,2275
8,"('Community', 'Drug Safety')",1,2014-09-08,25
9,"('General Category', 'New Features')",5,2014-09-08,225
10,"('General Category', 'Bugs')",6,2014-09-08,275
11,"('General Category', 'Product Categories')",6,2014-09-08,275
12,"('Offtopic', 'Generic randomness')",6,2014-09-08,275
13,"('Official section', 'News')",1,2014-09-08,25
14,"('Official section', 'Info')",1,2014-09-08,25
15,"('General Category', 'Vendor Discussion')",57,2014-09-08,2825
0,"('General Category', 'General Discussion')",179,2014-09-14,8925
1,"('General Category', 'Access vendor-only forum')",1,2014-09-14,25
2,"('General Category', 'Security Discussion')",11,2014-09-14,525
3,"('General Category', 'Product Offers')",44,2014-09-14,2175
4,"('Local forums', 'German')",8,2014-09-14,375
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-09-14,25
6,"('General Category', 'Newbie Section ')",60,2014-09-14,2975
7,"('General Category', 'Referral Links')",52,2014-09-14,2575
8,"('Community', 'Drug Safety')",1,2014-09-14,25
9,"('General Category', 'New Features')",5,2014-09-14,225
10,"('General Category', 'Bugs')",6,2014-09-14,275
11,"('General Category', 'Product Categories')",6,2014-09-14,275
12,"('Offtopic', 'Generic randomness')",6,2014-09-14,275
13,"('Official section', 'News')",1,2014-09-14,25
14,"('Official section', 'Info')",1,2014-09-14,25
15,"('General Category', 'Vendor Discussion')",58,2014-09-14,2875
0,"('General Category', 'General Discussion')",182,2014-09-22,9075
1,"('General Category', 'Access vendor-only forum')",1,2014-09-22,25
2,"('General Category', 'Security Discussion')",11,2014-09-22,525
3,"('General Category', 'Product Offers')",45,2014-09-22,2225
4,"('Local forums', 'German')",8,2014-09-22,375
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-09-22,25
6,"('General Category', 'Newbie Section ')",62,2014-09-22,3075
7,"('General Category', 'Referral Links')",48,2014-09-22,2375
8,"('Community', 'Drug Safety')",1,2014-09-22,25
9,"('General Category', 'New Features')",5,2014-09-22,225
10,"('General Category', 'Bugs')",6,2014-09-22,275
11,"('General Category', 'Product Categories')",7,2014-09-22,325
12,"('Offtopic', 'Generic randomness')",6,2014-09-22,275
13,"('Official section', 'News')",1,2014-09-22,25
14,"('Official section', 'Info')",1,2014-09-22,25
15,"('General Category', 'Vendor Discussion')",59,2014-09-22,2925
0,"('General Category', 'General Discussion')",183,2014-09-26,9125
1,"('General Category', 'Access vendor-only forum')",1,2014-09-26,25
2,"('General Category', 'Security Discussion')",11,2014-09-26,525
3,"('General Category', 'Product Offers')",46,2014-09-26,2275
4,"('Local forums', 'German')",9,2014-09-26,425
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-09-26,25
6,"('General Category', 'Newbie Section ')",66,2014-09-26,3275
7,"('General Category', 'Referral Links')",49,2014-09-26,2425
8,"('Community', 'Drug Safety')",1,2014-09-26,25
9,"('General Category', 'New Features')",5,2014-09-26,225
10,"('General Category', 'Bugs')",6,2014-09-26,275
11,"('General Category', 'Product Categories')",7,2014-09-26,325
12,"('Offtopic', 'Generic randomness')",7,2014-09-26,325
13,"('Official section', 'News')",1,2014-09-26,25
14,"('Official section', 'Info')",1,2014-09-26,25
15,"('General Category', 'Vendor Discussion')",60,2014-09-26,2975
0,"('General Category', 'General Discussion')",183,2014-09-28,9125
1,"('General Category', 'Access vendor-only forum')",1,2014-09-28,25
2,"('General Category', 'Security Discussion')",13,2014-09-28,625
3,"('General Category', 'Product Offers')",46,2014-09-28,2275
4,"('Local forums', 'German')",9,2014-09-28,425
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-09-28,25
6,"('General Category', 'Newbie Section ')",65,2014-09-28,3225
7,"('General Category', 'Referral Links')",43,2014-09-28,2125
8,"('Community', 'Drug Safety')",1,2014-09-28,25
9,"('General Category', 'New Features')",5,2014-09-28,225
10,"('General Category', 'Bugs')",6,2014-09-28,275
11,"('General Category', 'Product Categories')",7,2014-09-28,325
12,"('Offtopic', 'Generic randomness')",7,2014-09-28,325
13,"('Official section', 'News')",1,2014-09-28,25
14,"('Official section', 'Info')",1,2014-09-28,25
15,"('General Category', 'Vendor Discussion')",61,2014-09-28,3025
0,"('General Category', 'General Discussion')",460,2014-10-04,22975
1,"('General Category', 'Access vendor-only forum')",1,2014-10-04,25
2,"('General Category', 'Security Discussion')",31,2014-10-04,1525
3,"('General Category', 'Product Offers')",117,2014-10-04,5825
4,"('Local forums', 'German')",21,2014-10-04,1025
5,"('Community', 'Philosophy, Economics and Justice')",5,2014-10-04,225
6,"('General Category', 'Newbie Section ')",170,2014-10-04,8475
7,"('General Category', 'Referral Links')",107,2014-10-04,5325
8,"('Community', 'Drug Safety')",2,2014-10-04,75
9,"('General Category', 'New Features')",11,2014-10-04,525
10,"('General Category', 'Bugs')",13,2014-10-04,625
11,"('General Category', 'Product Categories')",16,2014-10-04,775
12,"('Offtopic', 'Generic randomness')",16,2014-10-04,775
13,"('Official section', 'News')",1,2014-10-04,25
14,"('Official section', 'Info')",1,2014-10-04,25
15,"('General Category', 'Vendor Discussion')",153,2014-10-04,7625
0,"('General Category', 'General Discussion')",468,2014-10-17,23375
1,"('General Category', 'Access vendor-only forum')",1,2014-10-17,25
2,"('General Category', 'Security Discussion')",32,2014-10-17,1575
3,"('General Category', 'Product Offers')",121,2014-10-17,6025
4,"('Local forums', 'German')",22,2014-10-17,1075
5,"('Community', 'Philosophy, Economics and Justice')",5,2014-10-17,225
6,"('General Category', 'Newbie Section ')",185,2014-10-17,9225
7,"('General Category', 'Referral Links')",107,2014-10-17,5325
8,"('Community', 'Drug Safety')",3,2014-10-17,125
9,"('General Category', 'New Features')",12,2014-10-17,575
10,"('General Category', 'Bugs')",13,2014-10-17,625
11,"('General Category', 'Product Categories')",17,2014-10-17,825
12,"('Offtopic', 'Generic randomness')",16,2014-10-17,775
13,"('Official section', 'News')",1,2014-10-17,25
14,"('Official section', 'Info')",1,2014-10-17,25
15,"('General Category', 'Vendor Discussion')",158,2014-10-17,7875
0,"('General Category', 'General Discussion')",469,2014-10-20,23425
1,"('General Category', 'Access vendor-only forum')",1,2014-10-20,25
2,"('General Category', 'Security Discussion')",32,2014-10-20,1575
3,"('General Category', 'Product Offers')",121,2014-10-20,6025
4,"('Local forums', 'German')",23,2014-10-20,1125
5,"('Community', 'Philosophy, Economics and Justice')",5,2014-10-20,225
6,"('General Category', 'Newbie Section ')",187,2014-10-20,9325
7,"('General Category', 'Referral Links')",108,2014-10-20,5375
8,"('Community', 'Drug Safety')",2,2014-10-20,75
9,"('General Category', 'New Features')",11,2014-10-20,525
10,"('General Category', 'Bugs')",13,2014-10-20,625
11,"('General Category', 'Product Categories')",17,2014-10-20,825
12,"('Offtopic', 'Generic randomness')",16,2014-10-20,775
13,"('Official section', 'News')",1,2014-10-20,25
14,"('Official section', 'Info')",1,2014-10-20,25
15,"('General Category', 'Vendor Discussion')",159,2014-10-20,7925
0,"('General Category', 'General Discussion')",472,2014-10-23,23575
1,"('General Category', 'Access vendor-only forum')",1,2014-10-23,25
2,"('General Category', 'Security Discussion')",33,2014-10-23,1625
3,"('General Category', 'Product Offers')",123,2014-10-23,6125
4,"('Local forums', 'German')",23,2014-10-23,1125
5,"('Community', 'Philosophy, Economics and Justice')",5,2014-10-23,225
6,"('General Category', 'Newbie Section ')",190,2014-10-23,9475
7,"('General Category', 'Referral Links')",108,2014-10-23,5375
8,"('Community', 'Drug Safety')",2,2014-10-23,75
9,"('General Category', 'New Features')",11,2014-10-23,525
10,"('General Category', 'Bugs')",13,2014-10-23,625
11,"('General Category', 'Product Categories')",17,2014-10-23,825
12,"('Offtopic', 'Generic randomness')",16,2014-10-23,775
13,"('Official section', 'News')",1,2014-10-23,25
14,"('Official section', 'Info')",1,2014-10-23,25
15,"('General Category', 'Vendor Discussion')",160,2014-10-23,7975
0,"('General Category', 'General Discussion')",475,2014-10-29,23725
1,"('General Category', 'Access vendor-only forum')",1,2014-10-29,25
2,"('General Category', 'Security Discussion')",33,2014-10-29,1625
3,"('General Category', 'Product Offers')",124,2014-10-29,6175
4,"('Local forums', 'German')",24,2014-10-29,1175
5,"('Community', 'Philosophy, Economics and Justice')",5,2014-10-29,225
6,"('General Category', 'Newbie Section ')",196,2014-10-29,9775
7,"('General Category', 'Referral Links')",109,2014-10-29,5425
8,"('Community', 'Drug Safety')",2,2014-10-29,75
9,"('General Category', 'New Features')",11,2014-10-29,525
10,"('General Category', 'Bugs')",13,2014-10-29,625
11,"('General Category', 'Product Categories')",17,2014-10-29,825
12,"('Offtopic', 'Generic randomness')",16,2014-10-29,775
13,"('Official section', 'News')",1,2014-10-29,25
14,"('Official section', 'Info')",1,2014-10-29,25
15,"('General Category', 'Vendor Discussion')",162,2014-10-29,8075
0,"('General Category', 'General Discussion')",500,2014-11-06,24975
1,"('General Category', 'Access vendor-only forum')",1,2014-11-06,25
2,"('General Category', 'Security Discussion')",32,2014-11-06,1575
3,"('General Category', 'Product Offers')",129,2014-11-06,6425
4,"('Local forums', 'German')",24,2014-11-06,1175
5,"('Community', 'Philosophy, Economics and Justice')",5,2014-11-06,225
6,"('General Category', 'Newbie Section ')",210,2014-11-06,10475
7,"('General Category', 'Referral Links')",134,2014-11-06,6675
8,"('Community', 'Drug Safety')",3,2014-11-06,125
9,"('General Category', 'New Features')",12,2014-11-06,575
10,"('General Category', 'Bugs')",14,2014-11-06,675
11,"('General Category', 'Product Categories')",17,2014-11-06,825
12,"('Offtopic', 'Generic randomness')",16,2014-11-06,775
13,"('Official section', 'News')",1,2014-11-06,25
14,"('Official section', 'Info')",1,2014-11-06,25
15,"('General Category', 'Vendor Discussion')",166,2014-11-06,8275
0,"('General Category', 'General Discussion')",482,2014-11-07,24075
1,"('General Category', 'Access vendor-only forum')",1,2014-11-07,25
2,"('General Category', 'Security Discussion')",32,2014-11-07,1575
3,"('General Category', 'Product Offers')",129,2014-11-07,6425
4,"('Local forums', 'German')",24,2014-11-07,1175
5,"('Community', 'Philosophy, Economics and Justice')",5,2014-11-07,225
6,"('General Category', 'Newbie Section ')",208,2014-11-07,10375
7,"('General Category', 'Referral Links')",134,2014-11-07,6675
8,"('Community', 'Drug Safety')",2,2014-11-07,75
9,"('General Category', 'New Features')",11,2014-11-07,525
10,"('General Category', 'Bugs')",14,2014-11-07,675
11,"('General Category', 'Product Categories')",17,2014-11-07,825
12,"('Offtopic', 'Generic randomness')",16,2014-11-07,775
13,"('Official section', 'News')",1,2014-11-07,25
14,"('Official section', 'Info')",1,2014-11-07,25
15,"('General Category', 'Vendor Discussion')",167,2014-11-07,8325
0,"('General Category', 'General Discussion')",483,2014-11-08,24125
1,"('General Category', 'Access vendor-only forum')",1,2014-11-08,25
2,"('General Category', 'Security Discussion')",33,2014-11-08,1625
3,"('General Category', 'Product Offers')",129,2014-11-08,6425
4,"('Local forums', 'German')",24,2014-11-08,1175
5,"('Community', 'Philosophy, Economics and Justice')",5,2014-11-08,225
6,"('General Category', 'Newbie Section ')",212,2014-11-08,10575
7,"('General Category', 'Referral Links')",135,2014-11-08,6725
8,"('Community', 'Drug Safety')",2,2014-11-08,75
9,"('General Category', 'New Features')",11,2014-11-08,525
10,"('General Category', 'Bugs')",14,2014-11-08,675
11,"('General Category', 'Product Categories')",17,2014-11-08,825
12,"('Offtopic', 'Generic randomness')",16,2014-11-08,775
13,"('Official section', 'News')",1,2014-11-08,25
14,"('Official section', 'Info')",1,2014-11-08,25
15,"('General Category', 'Vendor Discussion')",167,2014-11-08,8325
0,"('General Category', 'General Discussion')",485,2014-11-10,24225
1,"('General Category', 'Access vendor-only forum')",1,2014-11-10,25
2,"('General Category', 'Security Discussion')",33,2014-11-10,1625
3,"('General Category', 'Product Offers')",131,2014-11-10,6525
4,"('Local forums', 'German')",24,2014-11-10,1175
5,"('Community', 'Philosophy, Economics and Justice')",5,2014-11-10,225
6,"('General Category', 'Newbie Section ')",216,2014-11-10,10775
7,"('General Category', 'Referral Links')",174,2014-11-10,8675
8,"('Community', 'Drug Safety')",2,2014-11-10,75
9,"('General Category', 'New Features')",11,2014-11-10,525
10,"('General Category', 'Bugs')",14,2014-11-10,675
11,"('General Category', 'Product Categories')",17,2014-11-10,825
12,"('Offtopic', 'Generic randomness')",16,2014-11-10,775
13,"('Official section', 'News')",1,2014-11-10,25
14,"('Official section', 'Info')",1,2014-11-10,25
15,"('General Category', 'Vendor Discussion')",168,2014-11-10,8375
0,"('General Category', 'General Discussion')",486,2014-11-11,24275
1,"('General Category', 'Access vendor-only forum')",1,2014-11-11,25
2,"('General Category', 'Security Discussion')",34,2014-11-11,1675
3,"('General Category', 'Product Offers')",131,2014-11-11,6525
4,"('Local forums', 'German')",24,2014-11-11,1175
5,"('Community', 'Philosophy, Economics and Justice')",5,2014-11-11,225
6,"('General Category', 'Newbie Section ')",216,2014-11-11,10775
7,"('General Category', 'Referral Links')",174,2014-11-11,8675
8,"('Community', 'Drug Safety')",2,2014-11-11,75
9,"('General Category', 'New Features')",11,2014-11-11,525
10,"('General Category', 'Bugs')",14,2014-11-11,675
11,"('General Category', 'Product Categories')",17,2014-11-11,825
12,"('Offtopic', 'Generic randomness')",16,2014-11-11,775
13,"('Official section', 'News')",1,2014-11-11,25
14,"('Official section', 'Info')",1,2014-11-11,25
15,"('General Category', 'Vendor Discussion')",169,2014-11-11,8425
0,"('General Category', 'General Discussion')",489,2014-11-13,24425
1,"('General Category', 'Access vendor-only forum')",1,2014-11-13,25
2,"('General Category', 'Security Discussion')",34,2014-11-13,1675
3,"('General Category', 'Product Offers')",132,2014-11-13,6575
4,"('Local forums', 'German')",24,2014-11-13,1175
5,"('Community', 'Philosophy, Economics and Justice')",5,2014-11-13,225
6,"('General Category', 'Newbie Section ')",224,2014-11-13,11175
7,"('General Category', 'Referral Links')",131,2014-11-13,6525
8,"('Community', 'Drug Safety')",2,2014-11-13,75
9,"('General Category', 'New Features')",11,2014-11-13,525
10,"('General Category', 'Bugs')",14,2014-11-13,675
11,"('General Category', 'Product Categories')",17,2014-11-13,825
12,"('Offtopic', 'Generic randomness')",16,2014-11-13,775
13,"('Official section', 'News')",1,2014-11-13,25
14,"('Official section', 'Info')",1,2014-11-13,25
15,"('General Category', 'Vendor Discussion')",170,2014-11-13,8475
0,"('General Category', 'General Discussion')",489,2014-11-14,24425
1,"('General Category', 'Access vendor-only forum')",1,2014-11-14,25
2,"('General Category', 'Security Discussion')",34,2014-11-14,1675
3,"('General Category', 'Product Offers')",133,2014-11-14,6625
4,"('Local forums', 'German')",24,2014-11-14,1175
5,"('Community', 'Philosophy, Economics and Justice')",5,2014-11-14,225
6,"('General Category', 'Newbie Section ')",230,2014-11-14,11475
7,"('General Category', 'Referral Links')",133,2014-11-14,6625
8,"('Community', 'Drug Safety')",4,2014-11-14,175
9,"('General Category', 'New Features')",11,2014-11-14,525
10,"('General Category', 'Bugs')",14,2014-11-14,675
11,"('General Category', 'Product Categories')",17,2014-11-14,825
12,"('Offtopic', 'Generic randomness')",16,2014-11-14,775
13,"('Official section', 'News')",1,2014-11-14,25
14,"('Official section', 'Info')",1,2014-11-14,25
15,"('General Category', 'Vendor Discussion')",171,2014-11-14,8525
0,"('General Category', 'General Discussion')",489,2014-11-15,24425
1,"('General Category', 'Access vendor-only forum')",1,2014-11-15,25
2,"('General Category', 'Security Discussion')",34,2014-11-15,1675
3,"('General Category', 'Product Offers')",134,2014-11-15,6675
4,"('Local forums', 'German')",24,2014-11-15,1175
5,"('Community', 'Philosophy, Economics and Justice')",5,2014-11-15,225
6,"('General Category', 'Newbie Section ')",235,2014-11-15,11725
7,"('General Category', 'Referral Links')",140,2014-11-15,6975
8,"('Community', 'Drug Safety')",4,2014-11-15,175
9,"('General Category', 'New Features')",11,2014-11-15,525
10,"('General Category', 'Bugs')",14,2014-11-15,675
11,"('General Category', 'Product Categories')",18,2014-11-15,875
12,"('Offtopic', 'Generic randomness')",16,2014-11-15,775
13,"('Official section', 'News')",1,2014-11-15,25
14,"('Official section', 'Info')",1,2014-11-15,25
15,"('General Category', 'Vendor Discussion')",171,2014-11-15,8525
0,"('General Category', 'General Discussion')",490,2014-11-16,24475
1,"('General Category', 'Access vendor-only forum')",1,2014-11-16,25
2,"('General Category', 'Security Discussion')",34,2014-11-16,1675
3,"('General Category', 'Product Offers')",134,2014-11-16,6675
4,"('Local forums', 'German')",24,2014-11-16,1175
5,"('Community', 'Philosophy, Economics and Justice')",5,2014-11-16,225
6,"('General Category', 'Newbie Section ')",234,2014-11-16,11675
7,"('General Category', 'Referral Links')",147,2014-11-16,7325
8,"('Community', 'Drug Safety')",4,2014-11-16,175
9,"('General Category', 'New Features')",11,2014-11-16,525
10,"('General Category', 'Bugs')",14,2014-11-16,675
11,"('General Category', 'Product Categories')",18,2014-11-16,875
12,"('Offtopic', 'Generic randomness')",16,2014-11-16,775
13,"('Official section', 'News')",1,2014-11-16,25
14,"('Official section', 'Info')",1,2014-11-16,25
15,"('General Category', 'Vendor Discussion')",172,2014-11-16,8575
0,"('General Category', 'General Discussion')",197,2014-11-18,9825
1,"('General Category', 'Access vendor-only forum')",1,2014-11-18,25
2,"('General Category', 'Security Discussion')",14,2014-11-18,675
3,"('General Category', 'Product Offers')",54,2014-11-18,2675
4,"('Local forums', 'German')",10,2014-11-18,475
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-11-18,25
6,"('General Category', 'Newbie Section ')",95,2014-11-18,4725
7,"('General Category', 'Referral Links')",59,2014-11-18,2925
8,"('Community', 'Drug Safety')",1,2014-11-18,25
9,"('General Category', 'New Features')",5,2014-11-18,225
10,"('General Category', 'Bugs')",6,2014-11-18,275
11,"('General Category', 'Product Categories')",7,2014-11-18,325
12,"('Offtopic', 'Generic randomness')",7,2014-11-18,325
13,"('Official section', 'News')",1,2014-11-18,25
14,"('Official section', 'Info')",1,2014-11-18,25
15,"('General Category', 'Vendor Discussion')",69,2014-11-18,3425
0,"('General Category', 'General Discussion')",197,2014-11-19,9825
1,"('General Category', 'Access vendor-only forum')",1,2014-11-19,25
2,"('General Category', 'Security Discussion')",14,2014-11-19,675
3,"('General Category', 'Product Offers')",55,2014-11-19,2725
4,"('Local forums', 'German')",10,2014-11-19,475
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-11-19,25
6,"('General Category', 'Newbie Section ')",97,2014-11-19,4825
7,"('General Category', 'Referral Links')",59,2014-11-19,2925
8,"('Community', 'Drug Safety')",1,2014-11-19,25
9,"('General Category', 'New Features')",5,2014-11-19,225
10,"('General Category', 'Bugs')",6,2014-11-19,275
11,"('General Category', 'Product Categories')",7,2014-11-19,325
12,"('Offtopic', 'Generic randomness')",7,2014-11-19,325
13,"('Official section', 'News')",1,2014-11-19,25
14,"('Official section', 'Info')",1,2014-11-19,25
15,"('General Category', 'Vendor Discussion')",70,2014-11-19,3475
0,"('General Category', 'General Discussion')",198,2014-11-21,9875
1,"('General Category', 'Access vendor-only forum')",1,2014-11-21,25
2,"('General Category', 'Security Discussion')",13,2014-11-21,625
3,"('General Category', 'Product Offers')",55,2014-11-21,2725
4,"('Local forums', 'German')",10,2014-11-21,475
5,"('Community', 'Philosophy, Economics and Justice')",2,2014-11-21,75
6,"('General Category', 'Newbie Section ')",98,2014-11-21,4875
7,"('General Category', 'Referral Links')",61,2014-11-21,3025
8,"('Community', 'Drug Safety')",2,2014-11-21,75
9,"('General Category', 'New Features')",5,2014-11-21,225
10,"('General Category', 'Bugs')",6,2014-11-21,275
11,"('General Category', 'Product Categories')",7,2014-11-21,325
12,"('Offtopic', 'Generic randomness')",7,2014-11-21,325
13,"('Official section', 'News')",1,2014-11-21,25
14,"('Official section', 'Info')",1,2014-11-21,25
15,"('General Category', 'Vendor Discussion')",70,2014-11-21,3475
0,"('General Category', 'General Discussion')",199,2014-11-29,9925
1,"('General Category', 'Access vendor-only forum')",1,2014-11-29,25
2,"('General Category', 'Security Discussion')",14,2014-11-29,675
3,"('General Category', 'Product Offers')",56,2014-11-29,2775
4,"('Local forums', 'German')",11,2014-11-29,525
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-11-29,25
6,"('General Category', 'Newbie Section ')",99,2014-11-29,4925
7,"('General Category', 'Referral Links')",61,2014-11-29,3025
8,"('Community', 'Drug Safety')",1,2014-11-29,25
9,"('General Category', 'New Features')",5,2014-11-29,225
10,"('General Category', 'Bugs')",6,2014-11-29,275
11,"('Offtopic', 'Generic randomness')",7,2014-11-29,325
12,"('Official section', 'News')",1,2014-11-29,25
13,"('Official section', 'Info')",1,2014-11-29,25
14,"('General Category', 'Vendor Discussion')",71,2014-11-29,3525
0,"('General Category', 'General Discussion')",498,2014-12-01,24875
1,"('General Category', 'Access vendor-only forum')",1,2014-12-01,25
2,"('General Category', 'Security Discussion')",35,2014-12-01,1725
3,"('General Category', 'Product Offers')",139,2014-12-01,6925
4,"('Local forums', 'German')",26,2014-12-01,1275
5,"('Community', 'Philosophy, Economics and Justice')",5,2014-12-01,225
6,"('General Category', 'Newbie Section ')",250,2014-12-01,12475
7,"('General Category', 'Referral Links')",154,2014-12-01,7675
8,"('Community', 'Drug Safety')",4,2014-12-01,175
9,"('General Category', 'New Features')",11,2014-12-01,525
10,"('General Category', 'Bugs')",14,2014-12-01,675
11,"('General Category', 'Product Categories')",18,2014-12-01,875
12,"('Offtopic', 'Generic randomness')",16,2014-12-01,775
13,"('Official section', 'News')",1,2014-12-01,25
14,"('Official section', 'Info')",1,2014-12-01,25
15,"('General Category', 'Vendor Discussion')",177,2014-12-01,8825
0,"('General Category', 'General Discussion')",501,2014-12-02,25025
1,"('General Category', 'Access vendor-only forum')",1,2014-12-02,25
2,"('General Category', 'Security Discussion')",35,2014-12-02,1725
3,"('General Category', 'Product Offers')",139,2014-12-02,6925
4,"('Local forums', 'German')",26,2014-12-02,1275
5,"('Community', 'Philosophy, Economics and Justice')",5,2014-12-02,225
6,"('General Category', 'Newbie Section ')",253,2014-12-02,12625
7,"('General Category', 'Referral Links')",155,2014-12-02,7725
8,"('Community', 'Drug Safety')",4,2014-12-02,175
9,"('General Category', 'New Features')",11,2014-12-02,525
10,"('General Category', 'Bugs')",15,2014-12-02,725
11,"('General Category', 'Product Categories')",18,2014-12-02,875
12,"('Offtopic', 'Generic randomness')",16,2014-12-02,775
13,"('Official section', 'News')",1,2014-12-02,25
14,"('Official section', 'Info')",1,2014-12-02,25
15,"('General Category', 'Vendor Discussion')",178,2014-12-02,8875
0,"('General Category', 'General Discussion')",501,2014-12-05,25025
1,"('General Category', 'Access vendor-only forum')",1,2014-12-05,25
2,"('General Category', 'Security Discussion')",35,2014-12-05,1725
3,"('General Category', 'Product Offers')",140,2014-12-05,6975
4,"('Local forums', 'German')",26,2014-12-05,1275
5,"('Community', 'Philosophy, Economics and Justice')",5,2014-12-05,225
6,"('General Category', 'Newbie Section ')",259,2014-12-05,12925
7,"('General Category', 'Referral Links')",164,2014-12-05,8175
8,"('Community', 'Drug Safety')",4,2014-12-05,175
9,"('General Category', 'New Features')",11,2014-12-05,525
10,"('General Category', 'Bugs')",15,2014-12-05,725
11,"('General Category', 'Product Categories')",18,2014-12-05,875
12,"('Offtopic', 'Generic randomness')",16,2014-12-05,775
13,"('Official section', 'News')",1,2014-12-05,25
14,"('Official section', 'Info')",1,2014-12-05,25
15,"('General Category', 'Vendor Discussion')",179,2014-12-05,8925
0,"('General Category', 'General Discussion')",502,2014-12-06,25075
1,"('General Category', 'Access vendor-only forum')",1,2014-12-06,25
2,"('General Category', 'Security Discussion')",35,2014-12-06,1725
3,"('General Category', 'Product Offers')",142,2014-12-06,7075
4,"('Local forums', 'German')",26,2014-12-06,1275
5,"('Community', 'Philosophy, Economics and Justice')",6,2014-12-06,275
6,"('General Category', 'Newbie Section ')",263,2014-12-06,13125
7,"('General Category', 'Referral Links')",165,2014-12-06,8225
8,"('Community', 'Drug Safety')",4,2014-12-06,175
9,"('General Category', 'New Features')",13,2014-12-06,625
10,"('General Category', 'Bugs')",15,2014-12-06,725
11,"('General Category', 'Product Categories')",18,2014-12-06,875
12,"('Offtopic', 'Generic randomness')",16,2014-12-06,775
13,"('Official section', 'News')",1,2014-12-06,25
14,"('Official section', 'Info')",1,2014-12-06,25
15,"('General Category', 'Vendor Discussion')",180,2014-12-06,8975
0,"('General Category', 'General Discussion')",504,2014-12-07,25175
1,"('General Category', 'Access vendor-only forum')",1,2014-12-07,25
2,"('General Category', 'Security Discussion')",36,2014-12-07,1775
3,"('General Category', 'Product Offers')",142,2014-12-07,7075
4,"('Local forums', 'German')",26,2014-12-07,1275
5,"('Community', 'Philosophy, Economics and Justice')",5,2014-12-07,225
